Auteur;Titel;Journal;Jaar;Volume;Issue;Pages;Abstract;DOI
"X. Mei; H. C. Lee; K. Y. Diao; M. Huang; B. Lin; C. Liu; Z. Xie; Y. Ma; P. M. Robson; M. Chung; A. Bernheim; V. Mani; C. Calcagno; K. Li; S. Li; H. Shan; J. Lv; T. Zhao; J. Xia; Q. Long; S. Steinberger; A. Jacobi; T. Deyer; M. Luksza; F. Liu; B. P. Little; Z. A. Fayad; Y. Yang";Artificial intelligence-enabled rapid diagnosis of patients with COVID-19;Nat Med;2020;26;8;1224–1228;For diagnosis of coronavirus disease 2019 (COVID-19), a SARS-CoV-2 virus-specific reverse transcriptase polymerase chain reaction (RT-PCR) test is routinely used. However, this test can take up to 2?d to complete, serial testing may be required to rule out the possibility of false negative results and there is currently a shortage of RT-PCR test kits, underscoring the urgent need for alternative methods for rapid and accurate diagnosis of patients with COVID-19. Chest computed tomography (CT) is a valuable component in the evaluation of patients with suspected SARS-CoV-2 infection. Nevertheless, CT alone may have limited negative predictive value for ruling out SARS-CoV-2 infection, as some patients may have normal radiological findings at early stages of the disease. In this study, we used artificial intelligence (AI) algorithms to integrate chest CT findings with clinical symptoms, exposure history and laboratory testing to rapidly diagnose patients who are positive for COVID-19. Among a total of 905 patients tested by real-time RT-PCR assay and next-generation sequencing RT-PCR, 419 (46.3%) tested positive for SARS-CoV-2. In a test set of 279 patients, the AI system achieved an area under the curve of 0.92 and had equal sensitivity as compared to a senior thoracic radiologist. The AI system also improved the detection of patients who were positive for COVID-19 via RT-PCR who presented with normal CT scans, correctly identifying 17 of 25 (68%) patients, whereas radiologists classified all of these patients as COVID-19 negative. When CT scans and associated clinical history are available, the proposed AI system can help to rapidly diagnose COVID-19 patients.;10.1038/s41591-020-0931-3
"Jingjing Liu; Chaohui Bao; Jiaxin Zhang; Zeguang Han; Hai Fang; Haitao Lu";Artificial intelligence with mass spectrometry-based multimodal molecular profiling methods for advancing therapeutic discovery of infectious diseases;Pharmacology & Therapeutics;2024;263;;108712;Infectious diseases, driven by a diverse array of pathogens, can swiftly undermine public health systems. Accurate diagnosis and treatment of infectious diseases—centered around the identification of biomarkers and the elucidation of disease mechanisms—are in dire need of more versatile and practical analytical approaches. Mass spectrometry (MS)-based molecular profiling methods can deliver a wealth of information on a range of functional molecules, including nucleic acids, proteins, and metabolites. While MS-driven omics analyses can yield vast datasets, the sheer complexity and multi-dimensionality of MS data can significantly hinder the identification and characterization of functional molecules within specific biological processes and events. Artificial intelligence (AI) emerges as a potent complementary tool that can substantially enhance the processing and interpretation of MS data. AI applications in this context lead to the reduction of spurious signals, the improvement of precision, the creation of standardized analytical frameworks, and the increase of data integration efficiency. This critical review emphasizes the pivotal roles of MS based omics strategies in the discovery of biomarkers and the clarification of infectious diseases. Additionally, the review underscores the transformative ability of AI techniques to enhance the utility of MS-based molecular profiling in the field of infectious diseases by refining the quality and practicality of data produced from omics analyses. In conclusion, we advocate for a forward-looking strategy that integrates AI with MS-based molecular profiling. This integration aims to transform the analytical landscape and the performance of biological molecule characterization, potentially down to the single-cell level. Such advancements are anticipated to propel the development of AI-driven predictive models, thus improving the monitoring of diagnostics and therapeutic discovery for the ongoing challenge related to infectious diseases.;https://doi.org/10.1016/j.pharmthera.2024.108712
Selda Aslan;Artificial intelligence in clinical applications for infectious diseases: diagnosis, treatment and immunization;Experimental and Applied Medical Science;2024;;;;;10.46871/eams.1497329
"G. Alterovitz; Wei-Lun Alterovitz; G. Cassell; Lixin Zhang; A. Dunker";AI for infectious disease modelling and therapeutics;Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing;2020;26;;91–94;;10.1142/9789811232701_0009
"Emmanuel Edwar Siddig; Hala Fathi Eltigani; Ayman Ahmed";The rise of AI: how artificial intelligence is revolutionizing infectious disease control;Annals of biomedical engineering;2023;51;12;2636–2637;;
"N. Tran; Samer Albahra; L. May; S. Waldman; Scott Crabtree; Scott Bainbridge; H. Rashidi";Evolving Applications of Artificial Intelligence and Machine Learning in Infectious Diseases Testing;Clinical Chemistry;2021;68;;125–133;;10.1093/clinchem/hvab239
"Cheng Xu; Ling-Yun Zhao; Cun-Si Ye; Ke-Chen Xu; Ke-Yang Xu";The application of machine learning in clinical microbiology and infectious diseases;Frontiers in Cellular and Infection Microbiology;2025;15;;1545646;;
"Vartika Srivastava; Ravinder Kumar; Mohmmad Younus Wani; Keven Robinson; Aijaz Ahmad";Role of artificial intelligence in early diagnosis and treatment of infectious diseases;Infectious Diseases;2025;57;1;1–26;;10.1080/23744235.2024.2425712
"E. Y. Alqaissi; F. S. Alotaibi; M. S. Ramzan";Modern Machine-Learning Predictive Models for Diagnosing Infectious Diseases;Comput Math Methods Med;2022;2022;;6902321;Controlling infectious diseases is a major health priority because they can spread and infect humans, thus evolving into epidemics or pandemics. Therefore, early detection of infectious diseases is a significant need, and many researchers have developed models to diagnose them in the early stages. This paper reviewed research articles for recent machine-learning (ML) algorithms applied to infectious disease diagnosis. We searched the Web of Science, ScienceDirect, PubMed, Springer, and IEEE databases from 2015 to 2022, identified the pros and cons of the reviewed ML models, and discussed the possible recommendations to advance the studies in this field. We found that most of the articles used small datasets, and few of them used real-time data. Our results demonstrated that a suitable ML technique depends on the nature of the dataset and the desired goal. Moreover, heterogeneous data could ensure the model's generalization, while big data, many features, and a hybrid model will increase the resulting performance. Furthermore, using other techniques such as deep learning and NLP to extract vast features from unstructured data is a powerful approach to enhancing the performance of ML diagnostic models.;10.1155/2022/6902321
Elarbi Badidi;Edge AI for early detection of chronic diseases and the spread of infectious diseases: opportunities, challenges, and future directions;Future Internet;2023;15;11;370;;
"A. Z. Al Meslamani; I. Sobrino; J. de la Fuente";Machine learning in infectious diseases: potential applications and limitations;Ann Med;2024;56;1;2362869;"Infectious diseases are a major threat for human and animal health worldwide. Artificial Intelligence (AI) combined algorithms including Machine Learning and Big Data analytics have emerged as a potential solution to analyse diverse datasets and face challenges posed by infectious diseases. In this commentary we explore the potential applications and limitations of ML to management of infectious disease. It explores challenges in key areas such as outbreak prediction, pathogen identification, drug discovery, and personalized medicine. We propose potential solutions to mitigate these hurdles and applications of ML to identify biomolecules for effective treatment and prevention of infectious diseases. In addition to use of ML for management of infectious diseases, potential applications are based on catastrophic evolution events for the identification of biomolecular targets to reduce risks for infectious diseases and vaccinomics for discovery and characterization of vaccine protective antigens using intelligent Big Data analytics techniques. These considerations set a foundation for developing effective strategies for managing infectious diseases in the future.
Infectious diseases are a major challenge worldwideArtificial Intelligence (AI) combined algorithms have emerged as a potential solution to analyse diverse datasets and face challenges posed by infectious diseasesFuture directions include applications of ML to identify biomolecules for effective treatment and prevention of infectious diseases.
eng";10.1080/07853890.2024.2362869
